"Gene","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10"
"MYC",10.5,10.8,11.1,10.9,11.3,15.5,10.7,10.6,11,10.8,7.2,7.5,7.3,7.6,7.4,7.5,7.1,7.3,7.4,7.2
"BCL2",7.2,7.5,7.3,7.6,7.4,7.8,7.1,7.2,7.5,7.4,9.8,10.1,9.9,10.2,10,14.5,9.7,10,10.1,9.9
"RAD51",8.9,9.2,9.5,9.1,9.7,12.8,8.8,9,9.3,9.1,5.4,5.7,5.5,5.8,5.6,5.9,5.3,5.5,5.7,5.4
"BRCA1",7.5,7.8,7.9,7.7,8,10.5,7.4,7.6,7.8,7.7,4.9,5.2,5.1,5.3,5,5.4,4.8,5.1,5.2,5
"PARP1",8,8.1,8.4,8.2,8.5,11.2,7.9,8,8.3,8.1,5.1,5.4,5.2,5.5,5.3,5.8,5,5.2,5.4,5.1
"MKI67",11.2,11,11.5,11.4,11.8,16.3,11.1,11.3,11.6,11.4,6.8,7,6.9,7.2,7.1,7.3,6.7,6.9,7.1,6.8
"ATP5F1A",5.1,5,5.3,5.2,5.4,5.6,5.1,5,5.3,5.2,9.5,9.8,9.6,9.9,9.7,14.2,9.4,9.6,9.8,9.5
"NDUFS2",4.8,4.9,5.1,4.7,5,5.3,4.9,4.8,5.1,4.9,9.2,9.5,9.4,9.7,9.5,13.9,9.1,9.4,9.6,9.2
"TP53",6.5,6.6,6.7,6.4,6.8,6.9,6.5,6.6,6.7,6.5,7.1,7.2,7,7.3,7.1,7.4,7,7.2,7.3,7.1
"BAX",7.1,7.2,7.5,7.4,7.6,8.1,7,7.3,7.5,7.2,5.3,5.5,5.4,5.6,5.5,5.7,5.2,5.4,5.5,5.3
"GAPDH",9.8,9.7,9.9,9.8,10,10.1,9.9,9.8,10,9.9,9.7,9.8,9.9,9.8,9.9,10,9.8,9.9,10,9.8
"ACTB",10.2,10.1,10.3,10.4,10.2,10.5,10.2,10.1,10.4,10.3,10.1,10,10.2,10.1,10.3,10.4,10.2,10.1,10.3,10.2
