"CellLine","GFP_Positive_Percent"
"CHO",17.6
"CHO",15
"CHO",16
"CHO",12
"CHO",25.4
"CHO",34.9
"CHO",24.7
"CHO",22.6
"CHO",26.8
"CHO",19.9
"HEK293T",52.6
"HEK293T",60.9
"HEK293T",55.5
"HEK293T",45.8
"HEK293T",43.2
"HEK293T",50.5
"HEK293T",62.9
"HEK293T",58.8
"HEK293T",65.9
"HEK293T",63.8
"Vero",91.1
"Vero",98.1
"Vero",84.6
"Vero",91.3
"Vero",90.1
"Vero",93.9
"Vero",74.7
"Vero",84.4
"Vero",78.5
"Vero",78.6
"BHK21",63.2
"BHK21",59.8
"BHK21",51.9
"BHK21",76.1
"BHK21",56.7
"BHK21",68.6
"BHK21",67.1
"BHK21",54.8
"BHK21",66
"BHK21",61.6
