GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12
LOC130060903	4.37	8.2	6.25	2.06	9.19	3.84	4.13	3.72	7.08	3.11	2.69	7.89
LOC130067114	1.89	5.99	4.73	5.08	5.97	4.85	7.55	4.84	5.34	4.86	6.54	2.26
LOC127892092	3.67	7.14	5.66	5.86	4.73	5.45	2.07	6.9	4.35	7.03	3.5	5.01
LOC127830471	6.12	5.6	2.92	0.78	4.05	5.46	5.29	3.49	5.92	1.69	7.36	4.72
LOC129994140	4.48	4.88	5.75	1.93	4.04	5.21	4.23	3.16	3.09	6.35	8.71	5.81
LOC127408978	4.61	3.18	7.35	5.55	3.88	7.49	6.18	4.71	8.39	4.85	3.32	4.19
LOC127882507	4.8	3.99	8.23	6.6	3.03	8.09	6.39	4.78	5.91	2.65	3.4	5.98
LOC105374620	1.65	4.92	2.86	4.31	5.31	8.3	3.49	5	4.48	3.67	6.53	4.97
LOC124900783	6.51	5.51	5.96	7.16	0.1	2.64	4.69	9.17	7.04	3.39	4.79	4.23
LOC105376257	2.4	4.94	4.09	3.9	2.9	3.55	4.61	2.29	5.3	5.4	6.71	8.15
LOC128316665	4.62	4.68	5.94	4.7	6.78	2.73	3.11	3.35	3.94	7.85	6.45	2.05
LOC116186915	4.21	5.33	4.68	7.43	5.27	4.25	5.21	3.52	2.48	5.43	4.97	4.96
LOC130061372	4.61	4.06	4.55	4.85	6	5.55	4.34	7.6	4.93	4.03	3.51	3.29
LOC127402739	7.63	4.04	6.23	5.05	3.94	5.34	3.83	7.25	6.12	4.44	7.26	4.06
LOC129660807	3.95	2.38	6.34	3.38	7.54	4.58	3.17	3.32	5.59	5.84	3.79	7.06
TMEM177	3.59	6.52	5.5	5.12	4.46	4.72	5.1	3.08	2.49	5.15	6.72	7.77
LOC129937770	2.26	5.08	5.84	3.84	6.06	4.25	5.14	4.4	5.75	6.07	6.41	2.79
LOC127275742	3.55	4.85	5.68	1.76	5.02	3.45	3.84	1.41	4	5.23	1.29	6.03
LOC127898215	2.9	3.67	5.5	3.25	5.86	3.68	7.88	5.89	5.02	5.07	1.55	1.1
RNU7-26P	5.73	4.55	5.16	4.57	4.21	3.51	2.91	4.86	7.24	2.92	3.51	0.1
LOC130065463	3.45	3.04	6.65	5.29	7.24	4.09	4.66	1.91	5.6	2.9	7.93	3.27
LOC127897105	5.55	3.11	6.28	6.92	4.07	2.49	3.69	4.57	5.95	3.22	4.06	5.31
LOC129660160	4.74	1.55	6.43	5.07	10.15	7.22	6.54	4.92	3.5	4.91	4.55	2.98
LOC127821310	2.42	6.77	6.99	4.77	4.71	8.51	7.01	6.51	5.4	4.84	4.17	4.64
LOC127276111	3.58	5.23	5.99	6.99	5.23	2.64	0.57	4.9	2.38	8.84	0.24	1.76
IGLP1	6.59	2.99	4.72	9.35	3.88	7.26	3.96	3.72	6.54	7.15	7.38	7.66
EIF4BP9	6.63	7.09	3.04	4.85	6.32	5.2	1.57	3.85	3.63	7.13	6.55	1.68
LOC107985545	8.61	6.12	4.12	7.12	5.34	5.05	8.31	7.43	2.82	6.27	5.44	3.72
LOC129993040	4.99	6.34	3.43	5.88	6.14	5.11	5.25	4.45	3.45	4.45	2.7	4.2
LOC127459886	2.31	4.59	4.46	4.86	6.28	5.82	5.79	5.54	6.17	5.72	7.42	3.27
