,SampleID,Batch,CellLine,Plate,Well,drug,time,viability
1,S1,Batch1,A549,Plate1,A1,Control,24h,93
2,S2,Batch1,A549,Plate1,A2,Control,24h,96
3,S3,Batch1,A549,Plate1,A3,Control,24h,102
4,S4,Batch1,A549,Plate1,A4,Control,48h,108
5,S5,Batch1,A549,Plate1,A5,Control,48h,99
6,S6,Batch1,A549,Plate1,A6,Control,48h,100
7,S7,Batch1,A549,Plate1,B1,DrugA,24h,82
8,S8,Batch1,A549,Plate1,B2,DrugA,24h,74
9,S9,Batch1,A549,Plate1,B3,DrugA,24h,79
10,S10,Batch1,A549,Plate1,B4,DrugA,48h,82
11,S11,Batch1,A549,Plate1,B5,DrugA,48h,85
12,S12,Batch1,A549,Plate1,B6,DrugA,48h,88
13,S13,Batch2,A549,Plate2,C1,DrugB,24h,77
14,S14,Batch2,A549,Plate2,C2,DrugB,24h,75
15,S15,Batch2,A549,Plate2,C3,DrugB,24h,82
16,S16,Batch2,A549,Plate2,C4,DrugB,48h,62
17,S17,Batch2,A549,Plate2,C5,DrugB,48h,69.3
18,S18,Batch2,A549,Plate2,C6,DrugB,48h,64.8
19,S19,Batch2,A549,Plate2,D1,DrugC,24h,92.6
20,S20,Batch2,A549,Plate2,D2,DrugC,24h,95
21,S21,Batch2,A549,Plate2,D3,DrugC,24h,86
22,S22,Batch2,A549,Plate2,D4,DrugC,48h,88
23,S23,Batch2,A549,Plate2,D5,DrugC,48h,90
24,S24,Batch2,A549,Plate2,D6,DrugC,48h,81.5
